name, die
L082D,0
L083D,1
L084D,1
L085D,1
L086D,2
L087D,1
L088D,1
L089D,1
L090D,1
L091D,1
L092D,1
L093D,1
L094D,1
L095D,1
L096D,1
L097D,1
L098D,1
L099D,1
L1000D,3
L1001D,4
L1002D,5
L1003D,6
L1004D,7
L1005D,8
L1006D,8
L1007D,9
L1008D,10
L1009D,10
L100D,1
L1010D,10
L1011D,10
L1013D,10
L1014D,10
L1015D,10
L1016D,10
L1017D,10
L1018D,11
L1019D,10
L101D,1
L1020D,10
L1021D,12
L1022D,13
L1023D,10
L1024D,4
L1025D,10
L1026D,14
L1027D,15
L1028D,15
L1029D,15
L102D,1
L1030D,15
L1031D,15
L1032D,15
L1033D,15
L1034D,15
L1035D,15
L1036D,16
L1037D,16
L1038D,16
L1039D,17
L103D,1
L1040D,17
L1041D,4
L1042D,0
L1043D,16
L1044D,18
L1045D,2
L1046D,7
L1047D,17
L1048D,6
L1049D,19
L104D,2
L1050D,3
L1051D,20
L1052D,17
L1053D,2
L1054D,21
L1055D,17
L1056D,17
L1057D,17
L1058D,17
L1059D,22
L105D,23
L1060D,17
L1061D,22
L1062D,17
L1063D,22
L1064D,22
L1065D,22
L1066D,22
L1067D,22
L1068D,22
L1069D,17
L106D,13
L1070D,22
L1071D,17
L1072D,16
L1073D,16
L1074D,22
L1075D,22
L1076D,22
L1077D,17
L1078D,17
L1079D,24
L107D,10
L1080D,16
L1081D,16
L1082D,22
L1083D,22
L1084d,25
L1085D,26
L1086D,26
L1087D,27
L108D,7
L1092D,26
L1093D,28
L1094D,28
L1095D,28
L1096D,28
L1097D,29
L1098D,30
L1099D,16
L109D,18
L1100D,10
L1101D,31
L1102D,8
L1103D,32
L1104D,26
L1105D,33
L110D,13
L111D,2
L112D,8
L113D,2
L114D,13
L115D,13
L116D,19
L117D,13
L118D,2
L119D,13
L120D,10
L121D,10
L122D,10
L123D,10
L124D,10
L125D,10
L126D,10
L127D,10
L128D,10
L129D,10
L130D,10
L131D,10
L132D,10
L133D,10
L134D,10
L135D,10
L136D,10
L137D,10
L138D,10
L139D,6
L140D,10
L141D,10
L142D,10
L143D,10
L144D,10
L145D,10
L146D,10
L147D,10
L148D,10
L149D,10
L150D,10
L151D,10
L152D,10
L153D,10
L154D,10
L155D,10
L156D,10
L157D,10
L158D,10
L159D,34
L160D,34
L161D,6
L162D,16
L163D,16
L164D,13
L165D,15
L166D,35
L167D,35
L168D,35
L169D,5
L170D,5
L171D,5
L172D,6
L173D,6
L174D,6
L175D,8
L176D,6
L177D,6
L178D,6
L179D,10
L180D,18
L181D,4
L182D,4
L183D,2
L184D,2
L185D,35
L186D,35
L187D,9
L188D,36
L189D,5
L190D,36
L191D,3
L192D,36
L193D,5
L194D,12
L195D,16
L196D,16
L197D,0
L198D,9
L199D,10
L200D,7
L201D,7
L202D,12
L203D,12
L204D,8
L205D,12
L206D,12
L207D,8
L208D,37
L209D,8
L210D,8
L211D,9
L212D,7
L213D,7
L214D,7
L215D,7
L216D,7
L217D,22
L218D,8
L219D,9
L220D,8
L221D,8
L222D,8
L223D,6
L224D,8
L225D,5
L226D,6
L227D,5
L228D,19
L229D,36
L230D,36
L231D,19
L232D,7
L233D,19
L234D,2
L235D,2
L236D,34
L237D,13
L238D,5
L239D,9
L240D,13
L241D,19
L242D,13
L243D,18
L244D,18
L245D,3
L246D,3
L247D,13
L248D,6
L249D,6
L250D,4
L251D,4
L252D,4
L253D,36
L254D,35
L255D,36
L256D,35
L257D,35
L258D,10
L259D,19
L260D,13
L261D,0
L262D,35
L263D,7
L264D,18
L265D,35
L266D,0
L267D,0
L268D,35
L269D,9
L270D,0
L271D,9
L272D,9
L273D,18
L274D,18
L275D,18
L276D,37
L277D,3
L278D,9
L279D,17
L280D,3
L281D,6
L282D,10
L283D,13
L284D,6
L285D,0
L286D,0
L287D,36
L288D,7
L289D,7
L290D,19
L291D,6
L292D,18
L293D,7
L294D,12
L295D,12
L296D,12
L297D,12
L298D,12
L299D,12
L300D,12
L301D,12
L302D,12
L303D,12
L304D,23
L305D,23
L306D,13
L307D,18
L308D,3
L309D,13
L310D,7
L311D,8
L312D,18
L313D,8
L314D,13
L315D,7
L316D,18
L317D,15
L318D,2
L319D,13
L320D,13
L321D,7
L322D,19
L323D,6
L324D,6
L325D,2
L326D,6
L327D,6
L328D,18
L329D,13
L330D,12
L331D,37
L332D,37
L333D,35
L334D,35
L335D,2
L336D,10
L337D,7
L338D,0
L339D,0
L340D,0
L341D,4
L342D,3
L343D,3
L344D,9
L345D,6
L346D,8
L347D,8
L348D,6
L349D,35
L350D,3
L353D,19
L354D,12
L355D,8
L356D,36
L357D,0
L358D,36
L359D,36
L360D,14
L361D,14
L362D,37
L363D,12
L364D,0
L365D,0
L366D,10
L367D,0
L368D,10
L369D,0
L370D,0
L371D,0
L372D,17
L373D,6
L374D,0
L375D,0
L376D,0
L377D,0
L378D,0
L379D,0
L380D,9
L381D,18
L382D,10
L383D,37
L384D,15
L385D,15
L386D,38
L387D,37
L388D,37
L389D,37
L390D,18
L391D,37
L392D,19
L393D,16
L394D,37
L395D,37
L396D,2
L397D,36
L398D,35
L399D,35
L400D,35
L401D,35
L402D,35
L403D,35
L404D,35
L405D,35
L406D,35
L407D,35
L408D,35
L409D,36
L410D,35
L411D,35
L412D,35
L413D,35
L414D,5
L415D,4
L416D,35
L417D,0
L418D,7
L419D,35
L420D,35
L421D,35
L422D,35
L423D,35
L424D,35
L425D,35
L426D,35
L427D,35
L428D,35
L429D,35
L430D,35
L431D,35
L432D,35
L433D,35
L434D,35
L435D,35
L436D,5
L437D,13
L438D,35
L439D,23
L440D,19
L441D,19
L442D,19
L443D,19
L444D,7
L445D,19
L446D,19
L447D,37
L448D,7
L449D,7
L450D,0
L451D,0
L452D,0
L453D,36
L454D,2
L455D,2
L456D,9
L457D,9
L458D,9
L459D,34
L460D,34
L461D,34
L462D,34
L463D,34
L464D,7
L465D,2
L466D,2
L467D,2
L468D,2
L469D,36
L470D,9
L471D,9
L472D,9
L473D,9
L474D,9
L475D,9
L476D,34
L477D,34
L478D,34
L479D,9
L480D,10
L481D,39
L482D,10
L483D,14
L484D,34
L485D,34
L486D,18
L487D,22
L488D,16
L489D,34
L490D,34
L491D,34
L492D,34
L493D,34
L494D,0
L495D,0
L496D,0
L497D,0
L498D,19
L499D,9
L500D,36
L501D,23
L502D,9
L503D,15
L504D,7
L505D,7
L506D,16
L507D,35
L508D,10
L509D,34
L510D,9
L511D,2
L512D,19
L513D,2
L514D,36
L515D,2
L516D,8
L517D,36
L518D,10
L519D,3
L520D,6
L521D,6
L522D,6
L523D,0
L524D,38
L525D,38
L526D,18
L527D,6
L528D,37
L529D,36
L530D,36
L531D,14
L532D,9
L533D,12
L534D,10
L535D,10
L536D,2
L537D,7
L538D,36
L539D,2
L540D,2
L541D,10
L542D,17
L543D,35
L544D,23
L545D,3
L546D,23
L547D,37
L548D,37
L549D,37
L550D,5
L551D,36
L552D,37
L553D,37
L554D,0
L555D,19
L556D,0
L557D,0
L558D,19
L559D,36
L560D,35
L561D,40
L562D,5
L563D,5
L564D,5
L565D,5
L566D,4
L567D,5
L568D,5
L569D,18
L570D,41
L571D,6
L572D,9
L573D,2
L574D,34
L575D,35
L576D,38
L577D,38
L578D,9
L579D,19
L580D,19
L581D,6
L582D,19
L583D,19
L584D,18
L585D,4
L586D,4
L587D,4
L588D,4
L589D,4
L590D,5
L591D,4
L592D,9
L593D,9
L594D,9
L595D,9
L596D,9
L597D,9
L598D,8
L599D,9
L600D,42
L601D,11
L602D,42
L603D,11
L604D,11
L605D,43
L606D,44
L607D,42
L608D,15
L609D,43
L610D,43
L611D,11
L612D,42
L613D,42
L614D,37
L615D,45
L616D,42
L617D,14
L618D,14
L619D,14
L620D,45
L621D,42
L622D,42
L623D,10
L624D,14
L625D,43
L626D,10
L627D,45
L628D,10
L629D,14
L630D,16
L631D,42
L632D,36
L633D,11
L634D,11
L635D,11
L636D,45
L637D,45
L638D,46
L639D,14
L640D,14
L641D,42
L642D,42
L643D,42
L644D,10
L645D,10
L646D,43
L647D,43
L648D,43
L649D,10
L650D,10
L651D,10
L652D,10
L653D,14
L654D,42
L655D,42
L656D,43
L657D,43
L658D,43
L659D,10
L660D,10
L661D,10
L662D,10
L663D,15
L664D,47
L665D,42
L666D,42
L667D,42
L668D,11
L669D,11
L670D,45
L671D,45
L672D,45
L673D,14
L674D,42
L675D,42
L676D,42
L677D,42
L678D,42
L679D,42
L680D,15
L681D,2
L682D,8
L683D,10
L684D,17
L685D,10
L686D,14
L687D,14
L688D,43
L689D,43
L690D,43
L691D,15
L692D,43
L693D,43
L694D,43
L695D,10
L696D,10
L697D,10
L698D,10
L699D,10
L700D,10
L701D,10
L702D,14
L703D,14
L704D,14
L705D,14
L706D,43
L711D,43
L712D,17
L713D,22
L714D,10
L715D,15
L716D,15
L717D,15
L718D,43
L719D,43
L720D,43
L721D,43
L722D,43
L723D,14
L724D,10
L725D,10
L726D,14
L727D,10
L728D,10
L729D,14
L730D,14
L731D,14
L732D,14
L733D,14
L734D,42
L735D,42
L736D,42
L737D,42
L738D,42
L739D,42
L740D,42
L741D,45
L742D,45
L743D,14
L744D,14
L745D,14
L746D,14
L747D,42
L748D,43
L749D,10
L750D,42
L751D,1
L752D,0
L753D,19
L754D,3
L755D,9
L756D,3
L757D,19
L758D,2
L759D,36
L760D,5
L761D,48
L762D,3
L763D,0
L764D,0
L765D,8
L766D,2
L767D,19
L768D,0
L769D,16
L770D,10
L771D,49
L772D,50
L773R et D,51
L774D,49
L775D,47
L776D,47
L777D,47
L778D,47
L779D,33
L780D,49
L781D,49
L782D,52
L783D,53
L784D,52
L785D,53
L786D,53
L787D,53
L788D,53
L789D,52
L790D,52
L791D,52
L792D,54
L793D,54
L794D,55
L795D,33
L796D,33
L797D,33
L798D,47
L799D,56
L800D,55
L801D,31
L802D,31
L803D,31
L804D,57
L805D,31
L806D,58
L807D,58
L808D,58
L809D,58
L810D,58
L811D,47
L812D,59
L813D,59
L814D,59
L815D,59
L816D,59
L817D,59
L818D,59
L819D,60
L820D,61
L821D,62
L822D,63
L823D,63
L824D,64
L825D,65
L826D,54
L827D,47
L828D,49
L829D,47
L830D,66
L831D,66
L832D,66
L833D,66
L834D,50
L835D,67
L836D,66
L837D,53
L838D,68
L839D,69
L840D,59
L841D,55
L842D,53
L843D,70
L844D,71
L845D,70
L846D,67
L847D,72
L848D,28
L849D,52
L850D,52
L851D,73
L852D,73
L853D,59
L854D,59
L855D,54
L856D,30
L857D,70
L858D,47
L859D,60
L860D,50
L861D,56
L862D,66
L863D,28
L990D,0
L991D,35
L992D,0
L993D,8
L994D,0
L995D,0
L996D,0
L997D,19
L998D,5
L999D,12
