name, die
L001R,0
L002R,1
L003R,1
L004R,2
L005R,3
L006R,4
L007R,3
L008R,4
L009R,3
L010R,1
L011R,1
L012R,3
L013R,5
L014R,5
L015R,3
L016R,3
L017R,3
L018R,3
L019R,4
L020R,6
L021R,4
L022R,4
L023R,3
L024R,3
L025R,1
L026R,1
L027R,7
L028R,4
L029R,0
L030R,0
L031R,1
L032R,1
L033R,0
L034R,1
L035R,8
L036R,0
L037R,9
L038R,5
L039R,3
L040R,4
L041R,4
L042R,10
L043R,11
L044R,12
L045R,13
L046R,13
L047R,13
L048R,14
L049R,13
L050R,13
L051R,15
L052R,16
L053R,14
L054R,13
L055R,13
L056R,17
L057R,13
L058R,18
L059R,19
L060R,14
L061R,20
L062R,21
L063R,18
L064R,22
L065R,23
L066R,4
L067R,4
L068R,24
L069R,13
L070R,25
L071R,26
L072R,25
L073R,25
L074R,13
L075R,27
L076R,25
L077R,25
L078R,28
L079R,28
L080R,17
L081R,25
L082R,29
L083R,30
L084R,30
L085R,30
L086R,31
L087R,32
L088R,33
L089R,30
L090R,34
L091R,35
L092R,32
L093R,32
L094R,32
L095R,36
L096R,37
L097R,38
L098R,39
L099R,38
L1000R,80
L1001R,44
L1002R,77
L1003R,68
L1004R,68
L1005R,69
L1006R,49
L1007R,72
L1008R,125
L1009R,125
L100R,40
L1010R,103
L1011R,0
L1013R,2
L1014R,2
L1015R,55
L1016R,0
L1017R,2
L1018R,0
L1019R,0
L101R,41
L1020R,1
L1021R,77
L1022R,62
L1023R,56
L1024R,71
L1025R,190
L1026R,93
L1027R,93
L1028R,93
L1029R,93
L102R,37
L1030R,93
L1031R,93
L1032R,99
L1033R,99
L1034R,61
L1035R,61
L1036R,191
L1037R,61
L1038R,61
L1039R,61
L103R,42
L1040R,61
L1041R,90
L1042R,43
L1043R,99
L1044R,45
L1045R,50
L1046R,68
L1047R,74
L1048R,72
L1049R,82
L104R,43
L1050R,57
L1051R,192
L1052R,100
L1053R,80
L1054R,100
L1055R,100
L1056R,75
L1057R,75
L1058R,75
L1059R,105
L105R,44
L1060R,61
L1061R,193
L1062R,74
L1063R,74
L1064R,193
L1065R,131
L1066R,193
L1067R,193
L1068R,61
L1069R,100
L106R,45
L1070R,131
L1071R,75
L1072R,74
L1073R,100
L1074R,194
L1075R,195
L1076R,131
L1077R,61
L1078R,74
L1079R,196
L107R,41
L1080R,100
L1081R,74
L1082R,61
L1083R,197
L1084R,198
L1085R,199
L1086R,199
L1087R,200
L108R,46
L1092R,199
L1093R,172
L1094R,201
L1095R,202
L1096R,177
L1097R,203
L1098R,168
L1099R,61
L109R,47
L1100R,30
L1101R,142
L1102R,69
L1103R,204
L1104R,199
L1105R,205
L1106R,206
L1107R,207
L1108R,208
L1109R,209
L110R,48
L1110R,210
L1111R,211
L1112R,2
L1113R,127
L1114R,160
L1115R,0
L1117R,212
L111R,48
L1120R,30
L112R,49
L113R,50
L114R,45
L115R,48
L116R,51
L117R,29
L118R,50
L119R,48
L120R,52
L121R,53
L122R,50
L123R,52
L124R,29
L125R,29
L126R,30
L127R,43
L128R,54
L129R,29
L130R,54
L131R,43
L132R,29
L133R,30
L134R,30
L135R,55
L136R,53
L137R,53
L138R,56
L139R,57
L140R,4
L141R,50
L142R,45
L143R,50
L144R,50
L145R,50
L146R,50
L147R,45
L148R,41
L149R,45
L150R,45
L151R,4
L152R,53
L153R,53
L154R,2
L155R,58
L156R,2
L157R,50
L158R,50
L159R,59
L160R,59
L161R,60
L162R,61
L163R,61
L164R,62
L165R,63
L166R,64
L167R,65
L168R,65
L169R,66
L170R,67
L171R,57
L172R,64
L173R,68
L174R,46
L175R,69
L176R,65
L177R,43
L178R,46
L179R,29
L180R,62
L181R,70
L182R,71
L183R,43
